config,concurrency_or_tokens,metric,value,unit,notes
v15ctl-k2,12,decode_agg,791.2891,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k2.json"
v15ctl-k2,16,decode_agg,950.9001,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k2.json"
v16a-k1,1,decode_agg,173.9844,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k1.json"
v16a-k1,2,decode_agg,282.4229,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k1.json"
v16a-k1,4,decode_agg,436.8508,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k1.json"
v16a-k1,8,decode_agg,733.0395,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k1.json"
v16a-k1,12,decode_agg,894.1451,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k1.json"
v16a-k1,16,decode_agg,1051.9130,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k1.json"
v16a-k2,1,decode_agg,174.4418,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k2.json"
v16a-k2,2,decode_agg,282.6179,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k2.json"
v16a-k2,4,decode_agg,437.0896,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k2.json"
v16a-k2,8,decode_agg,733.9444,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k2.json"
v16a-k2,12,decode_agg,902.4719,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k2.json"
v16a-k2,16,decode_agg,1048.6221,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16a-k2.json"
v16b-k1,1,decode_agg,153.6118,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k1.json"
v16b-k1,2,decode_agg,269.3032,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k1.json"
v16b-k1,4,decode_agg,416.1711,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k1.json"
v16b-k1,8,decode_agg,704.3674,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k1.json"
v16b-k1,12,decode_agg,862.3045,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k1.json"
v16b-k1,16,decode_agg,1002.1878,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k1.json"
v16b-k2,1,decode_agg,154.1276,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k2.json"
v16b-k2,2,decode_agg,269.2760,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k2.json"
v16b-k2,4,decode_agg,409.4610,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k2.json"
v16b-k2,8,decode_agg,705.0943,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k2.json"
v16b-k2,12,decode_agg,843.4705,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k2.json"
v16b-k2,16,decode_agg,1001.6257,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v16b-k2.json"
v15ctl2-k1,1,decode_agg,153.3929,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k1.json"
v15ctl2-k1,2,decode_agg,270.7802,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k1.json"
v15ctl2-k1,4,decode_agg,414.8993,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k1.json"
v15ctl2-k1,8,decode_agg,703.1192,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k1.json"
v15ctl2-k1,12,decode_agg,797.5254,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k1.json"
v15ctl2-k1,16,decode_agg,957.0514,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k1.json"
v15ctl2-k2,1,decode_agg,153.3819,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k2.json"
v15ctl2-k2,2,decode_agg,270.7911,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k2.json"
v15ctl2-k2,4,decode_agg,415.1388,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k2.json"
v15ctl2-k2,8,decode_agg,702.9955,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k2.json"
v15ctl2-k2,12,decode_agg,815.0909,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k2.json"
v15ctl2-k2,16,decode_agg,953.3386,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v15ctl2-k2.json"
v17A-k1,1,decode_agg,164.4888,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k1.json"
v17A-k1,2,decode_agg,253.7697,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k1.json"
v17A-k1,4,decode_agg,418.3035,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k1.json"
v17A-k1,8,decode_agg,658.3431,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k1.json"
v17A-k1,12,decode_agg,856.5962,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k1.json"
v17A-k1,16,decode_agg,954.7206,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k1.json"
v17A-k2,1,decode_agg,164.9731,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k2.json"
v17A-k2,2,decode_agg,250.1252,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k2.json"
v17A-k2,4,decode_agg,412.6330,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k2.json"
v17A-k2,8,decode_agg,658.4457,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k2.json"
v17A-k2,12,decode_agg,861.5205,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k2.json"
v17A-k2,16,decode_agg,956.1016,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17A-k2.json"
v17B-k1,1,decode_agg,164.1910,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k1.json"
v17B-k1,2,decode_agg,252.9027,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k1.json"
v17B-k1,4,decode_agg,410.0207,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k1.json"
v17B-k1,8,decode_agg,655.1905,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k1.json"
v17B-k1,12,decode_agg,855.9482,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k1.json"
v17B-k1,16,decode_agg,950.7630,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k1.json"
v17B-k2,1,decode_agg,164.6499,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k2.json"
v17B-k2,2,decode_agg,252.5149,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k2.json"
v17B-k2,4,decode_agg,416.4580,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k2.json"
v17B-k2,8,decode_agg,641.7032,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k2.json"
v17B-k2,12,decode_agg,848.7913,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k2.json"
v17B-k2,16,decode_agg,950.9620,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v17; raw v17/knee-v17B-k2.json"
v15ctl3-k1,1,decode_agg,152.7137,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k1.json"
v15ctl3-k1,2,decode_agg,269.1211,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k1.json"
v15ctl3-k1,4,decode_agg,410.9793,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k1.json"
v15ctl3-k1,8,decode_agg,696.7505,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k1.json"
v15ctl3-k1,12,decode_agg,800.1301,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k1.json"
v15ctl3-k1,16,decode_agg,942.8604,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k1.json"
v15ctl3-k2,1,decode_agg,152.9211,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k2.json"
v15ctl3-k2,2,decode_agg,269.4865,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k2.json"
v15ctl3-k2,4,decode_agg,411.3262,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k2.json"
v15ctl3-k2,8,decode_agg,699.2558,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k2.json"
v15ctl3-k2,12,decode_agg,798.9874,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k2.json"
v15ctl3-k2,16,decode_agg,943.7354,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v15ctl3-k2.json"
v17ctl-k1,1,decode_agg,164.2030,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k1.json"
v17ctl-k1,2,decode_agg,252.9476,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k1.json"
v17ctl-k1,4,decode_agg,416.2279,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k1.json"
v17ctl-k1,8,decode_agg,651.2494,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k1.json"
v17ctl-k1,12,decode_agg,857.5557,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k1.json"
v17ctl-k1,16,decode_agg,952.0128,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k1.json"
v17ctl-k2,1,decode_agg,164.8164,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k2.json"
v17ctl-k2,2,decode_agg,253.1020,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k2.json"
v17ctl-k2,4,decode_agg,416.8989,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k2.json"
v17ctl-k2,8,decode_agg,653.8117,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k2.json"
v17ctl-k2,12,decode_agg,858.2690,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k2.json"
v17ctl-k2,16,decode_agg,950.8267,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-k2.json"
v17ctl-milo-1,1,decode_agg,164.8591,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-1.json"
v17ctl-milo-1,2,decode_agg,219.5197,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-1.json"
v17ctl-milo-1,4,decode_agg,415.5520,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-1.json"
v17ctl-milo-1,8,decode_agg,640.6490,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-1.json"
v17ctl-milo-1,12,decode_agg,854.8192,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-1.json"
v17ctl-milo-1,16,decode_agg,878.0929,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-1.json"
v17ctl-milo-2,1,decode_agg,165.1337,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-2.json"
v17ctl-milo-2,2,decode_agg,252.6480,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-2.json"
v17ctl-milo-2,4,decode_agg,416.4031,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-2.json"
v17ctl-milo-2,8,decode_agg,658.6793,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-2.json"
