config,concurrency_or_tokens,metric,value,unit,notes
v14,1,decode_agg,88.6576153625,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r1; per-stream 88.657615; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r1.json"
v14,2,decode_agg,123.7984949141,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r1; per-stream 61.899247; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r1.json"
v14,4,decode_agg,171.6482369683,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r1; per-stream 42.912059; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r1.json"
v14,8,decode_agg,304.6601173481,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r1; per-stream 38.082515; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r1.json"
v14,12,decode_agg,365.1872144933,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r1; per-stream 30.432268; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r1.json"
v14,16,decode_agg,385.4592057765,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r1; per-stream 24.091200; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r1.json"
v14,1,decode_agg,88.8309483112,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r2; per-stream 88.830948; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r2.json"
v14,2,decode_agg,123.8454091460,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r2; per-stream 61.922705; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r2.json"
v14,4,decode_agg,172.0248862949,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r2; per-stream 43.006222; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r2.json"
v14,8,decode_agg,305.7945040795,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r2; per-stream 38.224313; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r2.json"
v14,12,decode_agg,359.7511971073,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r2; per-stream 29.979266; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r2.json"
v14,16,decode_agg,417.2577782714,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v14 invocation v14-r2; per-stream 26.078611; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v14-knee-r2.json"
v15b,1,decode_agg,153.0932586354,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r1; per-stream 153.093259; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r1.json"
v15b,2,decode_agg,261.2028950051,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r1; per-stream 130.601448; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r1.json"
v15b,4,decode_agg,413.5783787194,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r1; per-stream 103.394595; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r1.json"
v15b,8,decode_agg,702.9646063583,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r1; per-stream 87.870576; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r1.json"
v15b,12,decode_agg,802.1436559483,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r1; per-stream 66.845305; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r1.json"
v15b,16,decode_agg,812.0950877141,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r1; per-stream 50.755943; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r1.json"
v15b,1,decode_agg,153.2479894078,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r2; per-stream 153.247989; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r2.json"
v15b,2,decode_agg,271.0342742140,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r2; per-stream 135.517137; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r2.json"
v15b,4,decode_agg,408.0982746494,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r2; per-stream 102.024569; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r2.json"
v15b,8,decode_agg,706.4517260507,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r2; per-stream 88.306466; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r2.json"
v15b,12,decode_agg,808.8945938897,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r2; per-stream 67.407883; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r2.json"
v15b,16,decode_agg,957.7703001055,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15b invocation v15b-r2; per-stream 59.860644; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15b-knee-r2.json"
v15-two-window-mean,1,decode_agg,153.2814815072,tok/s,four-run mean of v15a/v15b C1 knee.sh prose 153.2815 (153.50/153.29/153.09/153.25) vs v14 88.7443 (88.66/88.83) = +72.7%
v14-two-window-mean,1,decode_agg,88.7442818368,tok/s,two-run mean C1 knee.sh prose same e2c window
v15-two-window-mean,8,decode_agg,703.8906771847,tok/s,four-run mean C8 vs v14 305.2273
v14-two-window-mean,8,decode_agg,305.2273107138,tok/s,two-run mean C8 knee.sh prose
v15-two-window-mean,16,decode_agg,919.7893321086,tok/s,four-run mean C16 vs v14 401.3585; four v15 means 952.6/956.7/812.1/957.8; the 812 is one mixed pair (internal 667.4/956.8); other six internal C16 reps 952-958
v14-two-window-mean,16,decode_agg,401.3584920240,tok/s,two-run mean C16 knee.sh prose
v15-two-window-mean,1,heldout_math_proof,183.5350,tok/s,"streaming first-to-last, 5x400 tok English math/proof; v15a 182.87 / v15b 184.2 vs v14 129.78 = +41.4%; never-worse holds"
v14-same-window,1,heldout_math_proof,129.78,tok/s,held-out math/proof English
v15-two-window-mean,1,heldout_non_english,91.5800,tok/s,"streaming first-to-last, 5x400 tok JP+DE essays; v15a 90.77 / v15b 92.39 vs v14 93.02 = -1.55%; wash vs -1.5% bar"
v14-same-window,1,heldout_non_english,93.02,tok/s,held-out JP+DE essays
v15-e2c,50,parity_nontool_exact,44,prompts,"greedy T=0 seed 42 max_tokens 256 C1; 44/44 non-tool exact on every pair (v15a vs v14, v15a vs v15b, v14 vs v15b). content+tools 49/50, 47/50, 48/50. tool-prompt jitter present v15-vs-v15 too"
v15-e2c,12,gauntlet_pass,36,tasks,round-7 twelve-task suite 3 reps x 12 = 36/36; walls 10.48/10.53/10.38 s; isolation gate passed
